Filename,Execution Time,Found VC,Solution VC,Ratio,Difference
as20000102.txt.dimacs,0.037678718566895,1052,1052,0,0
email-Eu-core.txt.dimacs,0.023690462112427,585,579,1.03626943005182,6
ca-GrQc.txt.dimacs,0.027018547058106,2783,2783,0,0
p2p-Gnutella08.txt.dimacs,0.040181636810303,2054,2054,0,0
ca-HepTh.txt.dimacs,0.052245140075684,4981,4981,0,0
p2p-Gnutella09.txt.dimacs,0.051769733428955,2574,2574,0,0
p2p-Gnutella06.txt.dimacs,0.063299655914307,3415,3405,0.293685756240819,10
p2p-Gnutella05.txt.dimacs,0.063945770263672,3431,3428,0.087514585764296,3
p2p-Gnutella04.txt.dimacs,0.08137059211731,4352,4348,0.091996320147203,4
p2p-Gnutella25.txt.dimacs,0.151200771331787,6017,6017,0,0
facebook_combined.txt.dimacs,0.240302801132202,3021,2993,0.935516204477111,28
ca-CondMat.txt.dimacs,0.187132835388184,13522,13521,0.007395902669913,1
ca-HepPh.txt.dimacs,0.170877456665039,7012,7012,0,0
email-Enron.txt.dimacs,0.408775568008423,14438,14437,0.006926646810285,1
ca-AstroPh.txt.dimacs,0.3101966381073,12020,12012,0.06660006660006,8
soc-sign-Slashdot081106.txt.dimacs,3.24532055854797,19618,19614,0.020393596410727,4
soc-sign-Slashdot090216.txt.dimacs,3.62687420845032,21312,21305,0.032856137057038,7
soc-sign-Slashdot090221.txt.dimacs,3.61381077766418,21318,21314,0.018767007600644,4
soc-Epinions1.txt.dimacs,1.09978222846985,22280,22280,0,0
soc-Slashdot0811.txt.dimacs,1.35122537612915,24058,24046,0.049904349995828,12
soc-sign-epinions.txt.dimacs,6.31123876571655,28190,28184,0.021288674425208,6
soc-Slashdot0902.txt.dimacs,1.45454382896423,25789,25770,0.073729142413654,19
loc-gowalla_edges.txt.dimacs,3.20249915122986,84350,84222,0.151979292821352,128
amazon0302.txt.dimacs,3.46778678894043,170027,168537,0.884078866955036,1490
com-amazon.ungraph.txt.dimacs,3.5635929107666,160515,160231,0.177244103825089,284
com-dblp.ungraph.txt.dimacs,3.44387173652649,164951,164949,0.001212495983623,2
web-NotreDame.txt.dimacs,4.83865594863892,74656,73878,1.05308752267253,778
twitter_combined.txt.dimacs,3.36244583129883,44700,44463,0.533027461035005,237
roadNet-PA.txt.dimacs,7.51554441452026,564790,554464,1.86233912391064,10326
web-Stanford.txt.dimacs,11.3262875080109,120193,118514,1.41671026207875,1679
roadNet-TX.txt.dimacs,9.92501139640808,714131,701625,1.78243363620167,12506
