Filename,no_reds_time,Found VC,Solution VC,reds_time
karate.graph.dimacs,0.071425199508667,14,14,0.042240858078003
dolphins.graph.dimacs,0.077704906463623,34,34,0.06830906867981
chesapeake.graph.dimacs,0.073022127151489,22,22,0.045528173446655
adjnoun.graph.dimacs,0.092606067657471,59,59,0.080716133117676
polbooks.graph.dimacs,0.061501741409302,62,62,0.053272008895874
football.graph.dimacs,0.063737869262695,94,94,0.072658061981201
celegans_metabolic.graph.dimacs,0.293806076049805,249,249,0.10859203338623
jazz.graph.dimacs,0.117547035217285,158,158,0.082871913909912
netscience.graph.dimacs,300,899,899,0.106640100479126
add20.graph.dimacs,5.58394598960876,1842,1265,0.215781927108765
power.graph.dimacs,11.8191721439362,2203,2203,54.0006940364838
uk.graph.dimacs,178.167291879654,2626,2626,300
add32.graph.dimacs,4.35238099098206,2674,2674,0.386428833007812
